priority,track,week,concept,concept_key,search_url,status,video_id,duration_min,creator,why
2,ai-engineering,2,Why Streamlit,why-streamlit,https://www.youtube.com/results?search_query=Why+Streamlit+tutorial+explained,,,,,
2,ai-engineering,2,Hello Streamlit,hello-streamlit,https://www.youtube.com/results?search_query=Hello+Streamlit+tutorial+explained,,,,,
3,ai-engineering,3,20 test cases,20-test-cases,https://www.youtube.com/results?search_query=20+test+cases+tutorial+explained,,,,,
7,ai-engineering,15,Transport,transport,https://www.youtube.com/results?search_query=Transport+tutorial+explained,,,,,
8,ai-engineering,16,Manager-worker,manager-worker,https://www.youtube.com/results?search_query=Manager-worker+tutorial+explained,,,,,
8,ai-engineering,16,Peer-to-peer / swarm,peer-to-peer-swarm,https://www.youtube.com/results?search_query=Peer-to-peer+%2F+swarm+tutorial+explained,,,,,
8,ai-engineering,16,Critic / reviewer,critic-reviewer,https://www.youtube.com/results?search_query=Critic+%2F+reviewer+tutorial+explained,,,,,
9,ai-engineering,17,Online evals,online-evals,https://www.youtube.com/results?search_query=Online+evals+tutorial+explained,,,,,
12,ai-engineering,20,Auth,auth,https://www.youtube.com/results?search_query=Auth+tutorial+explained,,,,,
14,ai-engineering,23,Output sanitisation,output-sanitisation,https://www.youtube.com/results?search_query=Output+sanitisation+tutorial+explained,,,,,
15,cybersecurity,2,What you'll attack,what-you-ll-attack,https://www.youtube.com/results?search_query=What+you%27ll+attack+tutorial+explained,,,,,
15,cybersecurity,2,Login Jim — known credentials,login-jim-known-credentials,https://www.youtube.com/results?search_query=Login+Jim+%E2%80%94+known+credentials+tutorial+explained,,,,,
18,cybersecurity,5,"Install, proxy, trust the CA",install-proxy-trust-the-ca,https://www.youtube.com/results?search_query=Install%2C+proxy%2C+trust+the+CA+tutorial+explained,,,,,
28,cybersecurity,15,SCA (Software Composition Analysis),sca-software-composition-analysis,https://www.youtube.com/results?search_query=SCA+%28Software+Composition+Analysis%29+tutorial+explained,,,,,
30,cybersecurity,17,Writing custom Semgrep rules for your codebase's patterns,writing-custom-semgrep-rules-for-your-codebase-s,https://www.youtube.com/results?search_query=Writing+custom+Semgrep+rules+for+your+codebase%27s+patterns+tutorial+explained,,,,,
32,cybersecurity,19,SOC2 Trust Services Criteria,soc2-trust-services-criteria,https://www.youtube.com/results?search_query=SOC2+Trust+Services+Criteria+tutorial+explained,,,,,
32,cybersecurity,19,ISO27001,iso27001,https://www.youtube.com/results?search_query=ISO27001+tutorial+explained,,,,,
32,cybersecurity,19,PCI DSS,pci-dss,https://www.youtube.com/results?search_query=PCI+DSS+tutorial+explained,,,,,
35,cybersecurity,22,Tabletop exercises,tabletop-exercises,https://www.youtube.com/results?search_query=Tabletop+exercises+tutorial+explained,,,,,
36,cybersecurity,23,Specialisations,specialisations,https://www.youtube.com/results?search_query=Specialisations+tutorial+explained,,,,,
36,cybersecurity,23,Bug bounty as career signal,bug-bounty-as-career-signal,https://www.youtube.com/results?search_query=Bug+bounty+as+career+signal+tutorial+explained,,,,,
37,ai-automation,1,The automation landscape,the-automation-landscape,https://www.youtube.com/results?search_query=The+automation+landscape+tutorial+explained,,,,,
38,ai-automation,2,Your first workflow,your-first-workflow,https://www.youtube.com/results?search_query=Your+first+workflow+tutorial+explained,,,,,
