priority,track,week,concept,concept_key,search_url,status,video_id,duration_min,creator,why
1,ai-engineering,1,What AI engineering is,what-ai-engineering-is,https://www.youtube.com/results?search_query=What+AI+engineering+is+tutorial+explained,,,,,
1,ai-engineering,1,Python + .env discipline,python-env-discipline,https://www.youtube.com/results?search_query=Python+%2B+.env+discipline+tutorial+explained,,,,,
2,ai-engineering,2,Why Streamlit,why-streamlit,https://www.youtube.com/results?search_query=Why+Streamlit+tutorial+explained,,,,,
2,ai-engineering,2,Hello Streamlit,hello-streamlit,https://www.youtube.com/results?search_query=Hello+Streamlit+tutorial+explained,,,,,
3,ai-engineering,3,20 test cases,20-test-cases,https://www.youtube.com/results?search_query=20+test+cases+tutorial+explained,,,,,
4,ai-engineering,5,The two APIs side by side,the-two-apis-side-by-side,https://www.youtube.com/results?search_query=The+two+APIs+side+by+side+tutorial+explained,,,,,
5,ai-engineering,8,Tool/function calling,tool-function-calling,https://www.youtube.com/results?search_query=Tool%2Ffunction+calling+tutorial+explained,,,,,
6,ai-engineering,10,Vector DB landscape,vector-db-landscape,https://www.youtube.com/results?search_query=Vector+DB+landscape+tutorial+explained,,,,,
6,ai-engineering,10,Hybrid search,hybrid-search,https://www.youtube.com/results?search_query=Hybrid+search+tutorial+explained,,,,,
7,ai-engineering,15,What MCP is,what-mcp-is,https://www.youtube.com/results?search_query=What+MCP+is+tutorial+explained,,,,,
7,ai-engineering,15,Transport,transport,https://www.youtube.com/results?search_query=Transport+tutorial+explained,,,,,
8,ai-engineering,16,Manager-worker,manager-worker,https://www.youtube.com/results?search_query=Manager-worker+tutorial+explained,,,,,
8,ai-engineering,16,Peer-to-peer / swarm,peer-to-peer-swarm,https://www.youtube.com/results?search_query=Peer-to-peer+%2F+swarm+tutorial+explained,,,,,
8,ai-engineering,16,Critic / reviewer,critic-reviewer,https://www.youtube.com/results?search_query=Critic+%2F+reviewer+tutorial+explained,,,,,
9,ai-engineering,17,Evals as code,evals-as-code,https://www.youtube.com/results?search_query=Evals+as+code+tutorial+explained,,,,,
9,ai-engineering,17,Online evals,online-evals,https://www.youtube.com/results?search_query=Online+evals+tutorial+explained,,,,,
10,ai-engineering,18,Tracing primitives,tracing-primitives,https://www.youtube.com/results?search_query=Tracing+primitives+tutorial+explained,,,,,
11,ai-engineering,19,Exact-match caching,exact-match-caching,https://www.youtube.com/results?search_query=Exact-match+caching+tutorial+explained,,,,,
11,ai-engineering,19,Prompt caching (Anthropic/OpenAI),prompt-caching-anthropic-openai,https://www.youtube.com/results?search_query=Prompt+caching+%28Anthropic%2FOpenAI%29+tutorial+explained,,,,,
12,ai-engineering,20,Deployment platforms,deployment-platforms,https://www.youtube.com/results?search_query=Deployment+platforms+tutorial+explained,,,,,
12,ai-engineering,20,Auth,auth,https://www.youtube.com/results?search_query=Auth+tutorial+explained,,,,,
13,ai-engineering,22,Vision inputs,vision-inputs,https://www.youtube.com/results?search_query=Vision+inputs+tutorial+explained,,,,,
13,ai-engineering,22,Audio in,audio-in,https://www.youtube.com/results?search_query=Audio+in+tutorial+explained,,,,,
13,ai-engineering,22,Realtime APIs,realtime-apis,https://www.youtube.com/results?search_query=Realtime+APIs+tutorial+explained,,,,,
14,ai-engineering,23,Latency engineering,latency-engineering,https://www.youtube.com/results?search_query=Latency+engineering+tutorial+explained,,,,,
14,ai-engineering,23,Content moderation,content-moderation,https://www.youtube.com/results?search_query=Content+moderation+tutorial+explained,,,,,
14,ai-engineering,23,Output sanitisation,output-sanitisation,https://www.youtube.com/results?search_query=Output+sanitisation+tutorial+explained,,,,,
15,cybersecurity,2,What you'll attack,what-you-ll-attack,https://www.youtube.com/results?search_query=What+you%27ll+attack+tutorial+explained,,,,,
15,cybersecurity,2,Login Jim — known credentials,login-jim-known-credentials,https://www.youtube.com/results?search_query=Login+Jim+%E2%80%94+known+credentials+tutorial+explained,,,,,
16,cybersecurity,3,Sign up + 'Tutorial' room,sign-up-tutorial-room,https://www.youtube.com/results?search_query=Sign+up+%2B+%27Tutorial%27+room+tutorial+explained,,,,,
16,cybersecurity,3,OpenVPN setup,openvpn-setup,https://www.youtube.com/results?search_query=OpenVPN+setup+tutorial+explained,,,,,
16,cybersecurity,3,Basic Pentesting room,basic-pentesting-room,https://www.youtube.com/results?search_query=Basic+Pentesting+room+tutorial+explained,,,,,
17,cybersecurity,4,What is Burp Suite,what-is-burp-suite,https://www.youtube.com/results?search_query=What+is+Burp+Suite+tutorial+explained,,,,,
