track,week,concept,concept_key,search_url,status,video_id,duration_min,creator,why
ai-engineering,2,Why Streamlit,why-streamlit,https://www.youtube.com/results?search_query=Why+Streamlit+tutorial+explained,,,,,
ai-engineering,2,Hello Streamlit,hello-streamlit,https://www.youtube.com/results?search_query=Hello+Streamlit+tutorial+explained,,,,,
ai-engineering,3,20 test cases,20-test-cases,https://www.youtube.com/results?search_query=20+test+cases+tutorial+explained,,,,,
ai-engineering,8,Tool/function calling,tool-function-calling,https://www.youtube.com/results?search_query=Tool%2Ffunction+calling+tutorial+explained,,https://www.youtube.com/watch?v=aqdWSYWC_LI,29,Dave Ebbelaar,
ai-engineering,10,Vector DB landscape,vector-db-landscape,https://www.youtube.com/results?search_query=Vector+DB+landscape+tutorial+explained,,https://www.youtube.com/watch?v=klTvEwg3oJ4,4,Fireship,
ai-engineering,15,Transport,transport,https://www.youtube.com/results?search_query=Transport+tutorial+explained,,,,,
ai-engineering,16,Manager-worker,manager-worker,https://www.youtube.com/results?search_query=Manager-worker+tutorial+explained,,,,,
ai-engineering,16,Peer-to-peer / swarm,peer-to-peer-swarm,https://www.youtube.com/results?search_query=Peer-to-peer+%2F+swarm+tutorial+explained,,,,,
ai-engineering,16,Critic / reviewer,critic-reviewer,https://www.youtube.com/results?search_query=Critic+%2F+reviewer+tutorial+explained,,,,,
ai-engineering,17,Online evals,online-evals,https://www.youtube.com/results?search_query=Online+evals+tutorial+explained,,,,,
ai-engineering,19,Prompt caching (Anthropic/OpenAI),prompt-caching-anthropic-openai,https://www.youtube.com/results?search_query=Prompt+caching+%28Anthropic%2FOpenAI%29+tutorial+explained,,https://www.youtube.com/watch?v=u57EnkQaUTY,10,IBM Technology,
ai-engineering,20,Auth,auth,https://www.youtube.com/results?search_query=Auth+tutorial+explained,,,,,
ai-engineering,23,Latency engineering,latency-engineering,https://www.youtube.com/results?search_query=Latency+engineering+tutorial+explained,,https://www.youtube.com/watch?v=u57EnkQaUTY,10,IBM Technology,
cybersecurity,2,What you'll attack,what-you-ll-attack,https://www.youtube.com/results?search_query=What+you%27ll+attack+tutorial+explained,,,,,
cybersecurity,2,Login Jim — known credentials,login-jim-known-credentials,https://www.youtube.com/results?search_query=Login+Jim+%E2%80%94+known+credentials+tutorial+explained,,,,,
cybersecurity,5,"Install, proxy, trust the CA",install-proxy-trust-the-ca,https://www.youtube.com/results?search_query=Install%2C+proxy%2C+trust+the+CA+tutorial+explained,,,,,
cybersecurity,9,What to log,what-to-log,https://www.youtube.com/results?search_query=What+to+log+tutorial+explained,,,,,
cybersecurity,9,SIEM concepts,siem-concepts,https://www.youtube.com/results?search_query=SIEM+concepts+tutorial+explained,,https://www.youtube.com/watch?v=9RfsRn7m7OE,5,IBM Technology,
cybersecurity,12,Threat intelligence,threat-intelligence,https://www.youtube.com/results?search_query=Threat+intelligence+tutorial+explained,,https://www.youtube.com/watch?v=86fruE9jkKk,5,Professor Messer,
cybersecurity,15,SCA (Software Composition Analysis),sca-software-composition-analysis,https://www.youtube.com/results?search_query=SCA+%28Software+Composition+Analysis%29+tutorial+explained,,,,,
cybersecurity,17,Writing custom Semgrep rules for your codebase's patterns,writing-custom-semgrep-rules-for-your-codebase-s,https://www.youtube.com/results?search_query=Writing+custom+Semgrep+rules+for+your+codebase%27s+patterns+tutorial+explained,,,,,
cybersecurity,19,SOC2 Trust Services Criteria,soc2-trust-services-criteria,https://www.youtube.com/results?search_query=SOC2+Trust+Services+Criteria+tutorial+explained,,,,,
cybersecurity,19,ISO27001,iso27001,https://www.youtube.com/results?search_query=ISO27001+tutorial+explained,,,,,
cybersecurity,19,PCI DSS,pci-dss,https://www.youtube.com/results?search_query=PCI+DSS+tutorial+explained,,,,,
cybersecurity,22,Tabletop exercises,tabletop-exercises,https://www.youtube.com/results?search_query=Tabletop+exercises+tutorial+explained,,,,,
cybersecurity,23,Specialisations,specialisations,https://www.youtube.com/results?search_query=Specialisations+tutorial+explained,,,,,
cybersecurity,23,Bug bounty as career signal,bug-bounty-as-career-signal,https://www.youtube.com/results?search_query=Bug+bounty+as+career+signal+tutorial+explained,,https://www.youtube.com/watch?v=qme4rAD2mlM,15,The Cyber Mentor,
ai-automation,1,The automation landscape,the-automation-landscape,https://www.youtube.com/results?search_query=The+automation+landscape+tutorial+explained,,,,,
ai-automation,2,Your first workflow,your-first-workflow,https://www.youtube.com/results?search_query=Your+first+workflow+tutorial+explained,,,,,
ai-automation,9,Read emails with IMAP,read-emails-with-imap,https://www.youtube.com/results?search_query=Read+emails+with+IMAP+tutorial+explained,,,,,
ai-automation,9,AI email triage,ai-email-triage,https://www.youtube.com/results?search_query=AI+email+triage+tutorial+explained,,,,,
ai-automation,13,Conditional branching,conditional-branching,https://www.youtube.com/results?search_query=Conditional+branching+tutorial+explained,,,,,
ai-automation,15,Playwright — navigate and click,playwright-navigate-and-click,https://www.youtube.com/results?search_query=Playwright+%E2%80%94+navigate+and+click+tutorial+explained,,,,,
ai-automation,15,Fill forms automatically,fill-forms-automatically,https://www.youtube.com/results?search_query=Fill+forms+automatically+tutorial+explained,,,,,
ai-automation,16,Deploy to Railway,deploy-to-railway,https://www.youtube.com/results?search_query=Deploy+to+Railway+tutorial+explained,,,,,
ai-automation,18,What businesses will pay for,what-businesses-will-pay-for,https://www.youtube.com/results?search_query=What+businesses+will+pay+for+tutorial+explained,,,,,
ai-automation,18,Your automation portfolio,your-automation-portfolio,https://www.youtube.com/results?search_query=Your+automation+portfolio+tutorial+explained,,,,,
ai-automation,18,Upwork profile and first proposals,upwork-profile-and-first-proposals,https://www.youtube.com/results?search_query=Upwork+profile+and+first+proposals+tutorial+explained,,,,,
ai-automation,19,Choose your project,choose-your-project,https://www.youtube.com/results?search_query=Choose+your+project+tutorial+explained,,,,,
ai-automation,19,Build — day 1,build-day-1,https://www.youtube.com/results?search_query=Build+%E2%80%94+day+1+tutorial+explained,,,,,
ai-automation,19,Build — day 2,build-day-2,https://www.youtube.com/results?search_query=Build+%E2%80%94+day+2+tutorial+explained,,,,,
ai-automation,20,Write 3 case studies,write-3-case-studies,https://www.youtube.com/results?search_query=Write+3+case+studies+tutorial+explained,,,,,
mobile-engineering,3,Plan the history view,plan-the-history-view,https://www.youtube.com/results?search_query=Plan+the+history+view+tutorial+explained,,,,,
mobile-engineering,3,Store history,store-history,https://www.youtube.com/results?search_query=Store+history+tutorial+explained,,,,,
mobile-engineering,3,Build the History screen,build-the-history-screen,https://www.youtube.com/results?search_query=Build+the+History+screen+tutorial+explained,,,,,
mobile-engineering,4,Why TypeScript,why-typescript,https://www.youtube.com/results?search_query=Why+TypeScript+tutorial+explained,,https://www.youtube.com/watch?v=zQnBQ4tB3ZA,3,Fireship,
mobile-engineering,5,The form is where users quit,the-form-is-where-users-quit,https://www.youtube.com/results?search_query=The+form+is+where+users+quit+tutorial+explained,,,,,
mobile-engineering,6,Reanimated 3,reanimated-3,https://www.youtube.com/results?search_query=Reanimated+3+tutorial+explained,,,,,
mobile-engineering,6,Layout animations,layout-animations,https://www.youtube.com/results?search_query=Layout+animations+tutorial+explained,,,,,
mobile-engineering,7,Design tokens,design-tokens,https://www.youtube.com/results?search_query=Design+tokens+tutorial+explained,,,,,
mobile-engineering,7,useColorScheme,usecolorscheme,https://www.youtube.com/results?search_query=useColorScheme+tutorial+explained,,,,,
mobile-engineering,7,Custom fonts,custom-fonts,https://www.youtube.com/results?search_query=Custom+fonts+tutorial+explained,,,,,
mobile-engineering,8,AsyncStorage,asyncstorage,https://www.youtube.com/results?search_query=AsyncStorage+tutorial+explained,,,,,
mobile-engineering,8,SQLite via expo-sqlite,sqlite-via-expo-sqlite,https://www.youtube.com/results?search_query=SQLite+via+expo-sqlite+tutorial+explained,,,,,
mobile-engineering,9,Camera vs photo library,camera-vs-photo-library,https://www.youtube.com/results?search_query=Camera+vs+photo+library+tutorial+explained,,,,,
mobile-engineering,10,Location permissions,location-permissions,https://www.youtube.com/results?search_query=Location+permissions+tutorial+explained,,,,,
mobile-engineering,10,Maps,maps,https://www.youtube.com/results?search_query=Maps+tutorial+explained,,,,,
mobile-engineering,11,APNs (Apple Push Notification service),apns-apple-push-notification-service,https://www.youtube.com/results?search_query=APNs+%28Apple+Push+Notification+service%29+tutorial+explained,,,,,
mobile-engineering,13,Background sync,background-sync,https://www.youtube.com/results?search_query=Background+sync+tutorial+explained,,,,,
mobile-engineering,15,iOS background modes,ios-background-modes,https://www.youtube.com/results?search_query=iOS+background+modes+tutorial+explained,,,,,
mobile-engineering,16,Performance monitoring,performance-monitoring,https://www.youtube.com/results?search_query=Performance+monitoring+tutorial+explained,,https://www.youtube.com/watch?v=CAQ_a2-9UOI,10,IBM Technology,
mobile-engineering,18,Screen readers,screen-readers,https://www.youtube.com/results?search_query=Screen+readers+tutorial+explained,,,,,
mobile-engineering,18,Dynamic Type / Font Scale,dynamic-type-font-scale,https://www.youtube.com/results?search_query=Dynamic+Type+%2F+Font+Scale+tutorial+explained,,,,,
mobile-engineering,18,Touch target size,touch-target-size,https://www.youtube.com/results?search_query=Touch+target+size+tutorial+explained,,,,,
mobile-engineering,19,Plurals,plurals,https://www.youtube.com/results?search_query=Plurals+tutorial+explained,,,,,
mobile-engineering,20,Mocking native modules in tests,mocking-native-modules-in-tests,https://www.youtube.com/results?search_query=Mocking+native+modules+in+tests+tutorial+explained,,,,,
mobile-engineering,21,EAS Build,eas-build,https://www.youtube.com/results?search_query=EAS+Build+tutorial+explained,,,,,
mobile-engineering,21,Android signing,android-signing,https://www.youtube.com/results?search_query=Android+signing+tutorial+explained,,,,,
mobile-engineering,21,Splash screens,splash-screens,https://www.youtube.com/results?search_query=Splash+screens+tutorial+explained,,,,,
mobile-engineering,22,EAS Update,eas-update,https://www.youtube.com/results?search_query=EAS+Update+tutorial+explained,,,,,
mobile-engineering,22,What's safe to OTA,what-s-safe-to-ota,https://www.youtube.com/results?search_query=What%27s+safe+to+OTA+tutorial+explained,,,,,
mobile-engineering,23,Keyword research,keyword-research,https://www.youtube.com/results?search_query=Keyword+research+tutorial+explained,,,,,
mobile-engineering,23,Screenshots,screenshots,https://www.youtube.com/results?search_query=Screenshots+tutorial+explained,,,,,
mobile-engineering,23,Ratings and reviews,ratings-and-reviews,https://www.youtube.com/results?search_query=Ratings+and+reviews+tutorial+explained,,,,,
full-stack-web,7,Tailwind core,tailwind-core,https://www.youtube.com/results?search_query=Tailwind+core+tutorial+explained,,https://www.youtube.com/watch?v=mr15Xzb1Ook,3,Fireship,
full-stack-web,11,Resource modelling,resource-modelling,https://www.youtube.com/results?search_query=Resource+modelling+tutorial+explained,,,,,
full-stack-web,13,Subscription lifecycle,subscription-lifecycle,https://www.youtube.com/results?search_query=Subscription+lifecycle+tutorial+explained,,,,,
full-stack-web,14,Deliverability,deliverability,https://www.youtube.com/results?search_query=Deliverability+tutorial+explained,,,,,
full-stack-web,14,Templates and personalisation,templates-and-personalisation,https://www.youtube.com/results?search_query=Templates+and+personalisation+tutorial+explained,,,,,
full-stack-web,15,Direct-to-S3 uploads with progress tracking,direct-to-s3-uploads-with-progress-tracking,https://www.youtube.com/results?search_query=Direct-to-S3+uploads+with+progress+tracking+tutorial+explained,,,,,
full-stack-web,16,WebSocket basics,websocket-basics,https://www.youtube.com/results?search_query=WebSocket+basics+tutorial+explained,,,,,
full-stack-web,16,Hosting real-time,hosting-real-time,https://www.youtube.com/results?search_query=Hosting+real-time+tutorial+explained,,,,,
full-stack-web,17,Testing Library,testing-library,https://www.youtube.com/results?search_query=Testing+Library+tutorial+explained,,,,,
full-stack-web,18,Image optimisation,image-optimisation,https://www.youtube.com/results?search_query=Image+optimisation+tutorial+explained,,,,,
full-stack-web,20,Pino,pino,https://www.youtube.com/results?search_query=Pino+tutorial+explained,,,,,
full-stack-web,20,Hosted observability,hosted-observability,https://www.youtube.com/results?search_query=Hosted+observability+tutorial+explained,,https://www.youtube.com/watch?v=CAQ_a2-9UOI,10,IBM Technology,
full-stack-web,22,Load testing,load-testing,https://www.youtube.com/results?search_query=Load+testing+tutorial+explained,,,,,
full-stack-web,22,Background jobs,background-jobs,https://www.youtube.com/results?search_query=Background+jobs+tutorial+explained,,,,,
full-stack-web,23,Empty states,empty-states,https://www.youtube.com/results?search_query=Empty+states+tutorial+explained,,,,,
full-stack-web,23,Error states,error-states,https://www.youtube.com/results?search_query=Error+states+tutorial+explained,,,,,
devops-cloud,2,Buy a domain,buy-a-domain,https://www.youtube.com/results?search_query=Buy+a+domain+tutorial+explained,,,,,
devops-cloud,7,Pin tags by digest,pin-tags-by-digest,https://www.youtube.com/results?search_query=Pin+tags+by+digest+tutorial+explained,,,,,
devops-cloud,10,"Liveness, readiness, and startup probes",liveness-readiness-and-startup-probes,https://www.youtube.com/results?search_query=Liveness%2C+readiness%2C+and+startup+probes+tutorial+explained,,,,,
devops-cloud,10,QoS classes,qos-classes,https://www.youtube.com/results?search_query=QoS+classes+tutorial+explained,,,,,
