track,week,concept,concept_key,search_url,status,video_id,duration_min,creator,why
ai-engineering,1,What AI engineering is,what-ai-engineering-is,https://www.youtube.com/results?search_query=What+AI+engineering+is+tutorial+explained,,,,,
ai-engineering,1,Python + .env discipline,python-env-discipline,https://www.youtube.com/results?search_query=Python+%2B+.env+discipline+tutorial+explained,,,,,
ai-engineering,2,Why Streamlit,why-streamlit,https://www.youtube.com/results?search_query=Why+Streamlit+tutorial+explained,,,,,
ai-engineering,2,Hello Streamlit,hello-streamlit,https://www.youtube.com/results?search_query=Hello+Streamlit+tutorial+explained,,,,,
ai-engineering,3,Why eval,why-eval,https://www.youtube.com/results?search_query=Why+eval+tutorial+explained,,,,,
ai-engineering,3,Define what 'correct' means,define-what-correct-means,https://www.youtube.com/results?search_query=Define+what+%27correct%27+means+tutorial+explained,,,,,
ai-engineering,3,20 test cases,20-test-cases,https://www.youtube.com/results?search_query=20+test+cases+tutorial+explained,,,,,
ai-engineering,4,Threat model,threat-model,https://www.youtube.com/results?search_query=Threat+model+tutorial+explained,,,,,
ai-engineering,4,Input wrapping,input-wrapping,https://www.youtube.com/results?search_query=Input+wrapping+tutorial+explained,,,,,
ai-engineering,5,The two APIs side by side,the-two-apis-side-by-side,https://www.youtube.com/results?search_query=The+two+APIs+side+by+side+tutorial+explained,,,,,
ai-engineering,5,Build the dual-call function,build-the-dual-call-function,https://www.youtube.com/results?search_query=Build+the+dual-call+function+tutorial+explained,,,,,
ai-engineering,6,JSON mode,json-mode,https://www.youtube.com/results?search_query=JSON+mode+tutorial+explained,,,,,
ai-engineering,6,Pydantic v2 models as the source of truth for both validation and prompt schema,pydantic-v2-models-as-the-source-of-truth-for-bo,https://www.youtube.com/results?search_query=Pydantic+v2+models+as+the+source+of+truth+for+both+validation+and+prompt+schema+tutorial+explained,,,,,
ai-engineering,7,Token streaming,token-streaming,https://www.youtube.com/results?search_query=Token+streaming+tutorial+explained,,,,,
ai-engineering,7,Buffering and flushing,buffering-and-flushing,https://www.youtube.com/results?search_query=Buffering+and+flushing+tutorial+explained,,,,,
ai-engineering,8,Tool/function calling,tool-function-calling,https://www.youtube.com/results?search_query=Tool%2Ffunction+calling+tutorial+explained,,,,,
ai-engineering,8,Single-tool vs parallel tool calling,single-tool-vs-parallel-tool-calling,https://www.youtube.com/results?search_query=Single-tool+vs+parallel+tool+calling+tutorial+explained,,,,,
ai-engineering,8,Forced tool use vs auto,forced-tool-use-vs-auto,https://www.youtube.com/results?search_query=Forced+tool+use+vs+auto+tutorial+explained,,,,,
ai-engineering,10,Vector DB landscape,vector-db-landscape,https://www.youtube.com/results?search_query=Vector+DB+landscape+tutorial+explained,,,,,
ai-engineering,10,Hybrid search,hybrid-search,https://www.youtube.com/results?search_query=Hybrid+search+tutorial+explained,,,,,
ai-engineering,12,Building a golden test set,building-a-golden-test-set,https://www.youtube.com/results?search_query=Building+a+golden+test+set+tutorial+explained,,,,,
ai-engineering,12,Answer metrics,answer-metrics,https://www.youtube.com/results?search_query=Answer+metrics+tutorial+explained,,,,,
ai-engineering,13,Plan-then-execute,plan-then-execute,https://www.youtube.com/results?search_query=Plan-then-execute+tutorial+explained,,,,,
ai-engineering,14,Conversation buffer,conversation-buffer,https://www.youtube.com/results?search_query=Conversation+buffer+tutorial+explained,,,,,
ai-engineering,14,Episodic memory,episodic-memory,https://www.youtube.com/results?search_query=Episodic+memory+tutorial+explained,,,,,
ai-engineering,15,What MCP is,what-mcp-is,https://www.youtube.com/results?search_query=What+MCP+is+tutorial+explained,,,,,
ai-engineering,15,Transport,transport,https://www.youtube.com/results?search_query=Transport+tutorial+explained,,,,,
ai-engineering,15,Authentication and authorisation in MCP,authentication-and-authorisation-in-mcp,https://www.youtube.com/results?search_query=Authentication+and+authorisation+in+MCP+tutorial+explained,,,,,
ai-engineering,16,Manager-worker,manager-worker,https://www.youtube.com/results?search_query=Manager-worker+tutorial+explained,,,,,
ai-engineering,16,Peer-to-peer / swarm,peer-to-peer-swarm,https://www.youtube.com/results?search_query=Peer-to-peer+%2F+swarm+tutorial+explained,,,,,
ai-engineering,16,Critic / reviewer,critic-reviewer,https://www.youtube.com/results?search_query=Critic+%2F+reviewer+tutorial+explained,,,,,
ai-engineering,17,Evals as code,evals-as-code,https://www.youtube.com/results?search_query=Evals+as+code+tutorial+explained,,,,,
ai-engineering,17,Online evals,online-evals,https://www.youtube.com/results?search_query=Online+evals+tutorial+explained,,,,,
ai-engineering,17,Drift detection,drift-detection,https://www.youtube.com/results?search_query=Drift+detection+tutorial+explained,,,,,
ai-engineering,18,Tracing primitives,tracing-primitives,https://www.youtube.com/results?search_query=Tracing+primitives+tutorial+explained,,,,,
ai-engineering,18,Hosted observability,hosted-observability,https://www.youtube.com/results?search_query=Hosted+observability+tutorial+explained,,,,,
ai-engineering,18,Cost tracking integrated with traces,cost-tracking-integrated-with-traces,https://www.youtube.com/results?search_query=Cost+tracking+integrated+with+traces+tutorial+explained,,,,,
ai-engineering,19,Exact-match caching,exact-match-caching,https://www.youtube.com/results?search_query=Exact-match+caching+tutorial+explained,,,,,
ai-engineering,19,Prompt caching (Anthropic/OpenAI),prompt-caching-anthropic-openai,https://www.youtube.com/results?search_query=Prompt+caching+%28Anthropic%2FOpenAI%29+tutorial+explained,,,,,
ai-engineering,20,Deployment platforms,deployment-platforms,https://www.youtube.com/results?search_query=Deployment+platforms+tutorial+explained,,,,,
ai-engineering,20,Auth,auth,https://www.youtube.com/results?search_query=Auth+tutorial+explained,,,,,
ai-engineering,21,When to fine-tune,when-to-fine-tune,https://www.youtube.com/results?search_query=When+to+fine-tune+tutorial+explained,,,,,
ai-engineering,21,Hosted fine-tuning,hosted-fine-tuning,https://www.youtube.com/results?search_query=Hosted+fine-tuning+tutorial+explained,,,,,
ai-engineering,21,LoRA and QLoRA,lora-and-qlora,https://www.youtube.com/results?search_query=LoRA+and+QLoRA+tutorial+explained,,,,,
ai-engineering,22,Vision inputs,vision-inputs,https://www.youtube.com/results?search_query=Vision+inputs+tutorial+explained,,,,,
ai-engineering,22,Audio in,audio-in,https://www.youtube.com/results?search_query=Audio+in+tutorial+explained,,,,,
ai-engineering,22,Realtime APIs,realtime-apis,https://www.youtube.com/results?search_query=Realtime+APIs+tutorial+explained,,,,,
ai-engineering,23,Latency engineering,latency-engineering,https://www.youtube.com/results?search_query=Latency+engineering+tutorial+explained,,,,,
ai-engineering,23,Content moderation,content-moderation,https://www.youtube.com/results?search_query=Content+moderation+tutorial+explained,,,,,
ai-engineering,23,Output sanitisation,output-sanitisation,https://www.youtube.com/results?search_query=Output+sanitisation+tutorial+explained,,,,,
cybersecurity,2,What you'll attack,what-you-ll-attack,https://www.youtube.com/results?search_query=What+you%27ll+attack+tutorial+explained,,,,,
cybersecurity,2,Login Jim — known credentials,login-jim-known-credentials,https://www.youtube.com/results?search_query=Login+Jim+%E2%80%94+known+credentials+tutorial+explained,,,,,
cybersecurity,2,Login Bender — different attack,login-bender-different-attack,https://www.youtube.com/results?search_query=Login+Bender+%E2%80%94+different+attack+tutorial+explained,,,,,
cybersecurity,3,Sign up + 'Tutorial' room,sign-up-tutorial-room,https://www.youtube.com/results?search_query=Sign+up+%2B+%27Tutorial%27+room+tutorial+explained,,,,,
cybersecurity,3,OpenVPN setup,openvpn-setup,https://www.youtube.com/results?search_query=OpenVPN+setup+tutorial+explained,,,,,
cybersecurity,3,Basic Pentesting room,basic-pentesting-room,https://www.youtube.com/results?search_query=Basic+Pentesting+room+tutorial+explained,,,,,
cybersecurity,4,What is Burp Suite,what-is-burp-suite,https://www.youtube.com/results?search_query=What+is+Burp+Suite+tutorial+explained,,,,,
cybersecurity,4,Install + configure,install-configure,https://www.youtube.com/results?search_query=Install+%2B+configure+tutorial+explained,,,,,
cybersecurity,4,Intercept a Juice Shop login,intercept-a-juice-shop-login,https://www.youtube.com/results?search_query=Intercept+a+Juice+Shop+login+tutorial+explained,,,,,
cybersecurity,5,What a web proxy actually is,what-a-web-proxy-actually-is,https://www.youtube.com/results?search_query=What+a+web+proxy+actually+is+tutorial+explained,,,,,
cybersecurity,5,"Install, proxy, trust the CA",install-proxy-trust-the-ca,https://www.youtube.com/results?search_query=Install%2C+proxy%2C+trust+the+CA+tutorial+explained,,,,,
cybersecurity,5,Why intercepting is dangerous power,why-intercepting-is-dangerous-power,https://www.youtube.com/results?search_query=Why+intercepting+is+dangerous+power+tutorial+explained,,,,,
cybersecurity,6,Exploit chaining,exploit-chaining,https://www.youtube.com/results?search_query=Exploit+chaining+tutorial+explained,,,,,
cybersecurity,6,Privilege escalation,privilege-escalation,https://www.youtube.com/results?search_query=Privilege+escalation+tutorial+explained,,,,,
