priority,track,week,concept,concept_key,search_url,status,video_id,duration_min,creator,why
10,ai-engineering,18,Tracing primitives,tracing-primitives,https://www.youtube.com/results?search_query=Tracing+primitives+tutorial+explained,,https://www.youtube.com/watch?v=dXohgVATzDc,5,IBM Technology,
12,ai-engineering,20,Deployment platforms,deployment-platforms,https://www.youtube.com/results?search_query=Deployment+platforms+tutorial+explained,,https://www.youtube.com/watch?v=LNLKZ4Rvk8w,6,IBM Technology,
13,ai-engineering,22,Vision inputs,vision-inputs,https://www.youtube.com/results?search_query=Vision+inputs+tutorial+explained,,https://www.youtube.com/watch?v=lOD_EE96jhM,10,IBM Technology,
13,ai-engineering,22,Audio in,audio-in,https://www.youtube.com/results?search_query=Audio+in+tutorial+explained,,https://www.youtube.com/watch?v=WkoytlA3MoQ,7,AssemblyAI,
16,cybersecurity,3,Sign up + 'Tutorial' room,sign-up-tutorial-room,https://www.youtube.com/results?search_query=Sign+up+%2B+%27Tutorial%27+room+tutorial+explained,,https://www.youtube.com/watch?v=VoY2ERH08Bs,24,HackerSploit,
19,cybersecurity,6,Exploit chaining,exploit-chaining,https://www.youtube.com/results?search_query=Exploit+chaining+tutorial+explained,,https://www.youtube.com/watch?v=eVI0Ny5cZ2c,9,The Cyber Mentor,
22,cybersecurity,9,What to log,what-to-log,https://www.youtube.com/results?search_query=What+to+log+tutorial+explained,,https://www.youtube.com/watch?v=9RfsRn7m7OE,5,IBM Technology,
22,cybersecurity,9,Splunk,splunk,https://www.youtube.com/results?search_query=Splunk+tutorial+explained,,https://www.youtube.com/watch?v=9RfsRn7m7OE,5,IBM Technology,
23,cybersecurity,10,The SANS IR lifecycle,the-sans-ir-lifecycle,https://www.youtube.com/results?search_query=The+SANS+IR+lifecycle+tutorial+explained,,https://www.youtube.com/watch?v=XyOvdhjrEX4,9,IBM Technology,
26,cybersecurity,13,Public S3 buckets,public-s3-buckets,https://www.youtube.com/results?search_query=Public+S3+buckets+tutorial+explained,,https://www.youtube.com/watch?v=77lMCiiMilo,4,Amazon Web Services,
28,cybersecurity,15,IaC scanning,iac-scanning,https://www.youtube.com/results?search_query=IaC+scanning+tutorial+explained,,https://www.youtube.com/watch?v=IvY_o23y1zs,10,KodeKloud,
31,cybersecurity,18,Dependency provenance,dependency-provenance,https://www.youtube.com/results?search_query=Dependency+provenance+tutorial+explained,,https://www.youtube.com/watch?v=QtZZEK4o3Cc,27,Microsoft Reactor,
