priority,track,concept,concept_key,search_url,status,video_id,duration_min,creator,why
1,ai-engineering,Function calling / tool use with LLMs,function-calling,https://www.youtube.com/results?search_query=LLM+function+calling+tool+use+tutorial,,https://youtu.be/aqdWSYWC_LI?si=-XrftnHwuG0MgTFs,,,
2,ai-engineering,Structured outputs / JSON mode,structured-outputs,https://www.youtube.com/results?search_query=LLM+structured+outputs+JSON+mode+tutorial,,https://youtu.be/fuMKrKlaku4?si=DQIaJhRAxvzmyNxH,,,
3,ai-engineering,Evals / LLM-as-judge,llm-eval,https://www.youtube.com/results?search_query=LLM+evals+llm+as+a+judge+tutorial,,https://youtu.be/trfUBIDeI1Y?si=-f3xNRBtdt3G88VM   and https://youtu.be/a3SMraZWNNs?si=Dns09HBnIpjq8YlB,,,
4,ai-engineering,Prompt injection & defence,prompt-injection,https://www.youtube.com/results?search_query=prompt+injection+attack+defense+explained,, https://youtu.be/PLyEKcRn1Po?si=dF7ET3Vguyn5Wh72  and  https://youtu.be/Sv5OLj2nVAQ?si=KR9rfrPfBqMvqe_e and https://youtu.be/VbNPZ1n6_vY?si=aFVsJ48070tcHvDe,,,
5,ai-engineering,"Prompt engineering (few-shot, chain-of-thought)",prompt-engineering,https://www.youtube.com/results?search_query=prompt+engineering+few-shot+chain+of+thought+tutorial,,https://youtu.be/YTVc_TNpf9k?si=KenG5U5rBO2XUTzT,,,
6,ai-engineering,RAG evaluation,rag-eval,https://www.youtube.com/results?search_query=RAG+evaluation+RAGAS+measure+retrieval+quality,,https://youtu.be/5fp6e5nhJRk?si=c97zhgygMYcAFWpv,,,
7,ai-engineering,LLM observability / tracing,llm-observability,https://www.youtube.com/results?search_query=LLM+observability+tracing+tutorial,,https://youtu.be/2E8iTvGo9Hs?si=x8qdtOqeH_JOxM5q and https://youtu.be/eW2KuWFeZyY?si=8UGWBzsSXt70-TML,,,
8,ai-engineering,Fine-tuning with LoRA,fine-tuning,https://www.youtube.com/results?search_query=fine+tuning+LLM+LoRA+explained,,https://youtu.be/KEv-F5UkhxU?si=ZfJmendRJNlN9-iz  and https://youtu.be/Us5ZFp16PaU?si=pWSRTrfRgQK2sZBA and https://youtu.be/CNmsM6JGJz0?si=sreOmduzKNLhVkUz,,,
9,ai-engineering,Streaming LLM responses (SSE),llm-streaming,https://www.youtube.com/results?search_query=streaming+LLM+responses+SSE+tutorial,,https://youtu.be/xTTtqwGWemw?si=sV9XrRD3SUF6pGD1 and https://youtu.be/vEmiZ8u7KfA?si=lmA-8BsClPogk9iB,,,
10,ai-engineering,Agent loops (ReAct / plan-execute),agent,https://www.youtube.com/results?search_query=AI+agents+ReAct+loop+tutorial,,https://youtu.be/Y-VCZ_KTuzo?si=f22nZ9KNRQZj3BPN,,,
11,ai-engineering,Agent memory / context window,agent-memory,https://www.youtube.com/results?search_query=LLM+agent+memory+context+window+tutorial,,https://youtu.be/TeQDr4DkLYo?si=C0EXCR6-bqrm_qKy  and  https://youtu.be/3mSbR7fJX9A?si=763SH726j5mtwC6o,,,
12,ai-engineering,MCP / tool servers,mcp,https://www.youtube.com/results?search_query=Model+Context+Protocol+MCP+tutorial,,https://youtu.be/tzrwxLNHtRY?si=rVpSrolgm2EzId7G,,,
13,cybersecurity,Burp Suite workflow,burp,https://www.youtube.com/results?search_query=Burp+Suite+tutorial+for+beginners,,https://youtu.be/QiNLNDSLuJY?si=EseS93XOATeK9By1,,,
14,cybersecurity,OWASP Top 10,owasp,https://www.youtube.com/results?search_query=OWASP+Top+10+explained,,https://youtu.be/Jzr0Jdnq_EI?si=w6zzrhvkUUu5FRZd,,,
15,cybersecurity,IDOR (broken access control),idor,https://www.youtube.com/results?search_query=IDOR+insecure+direct+object+reference+explained,,https://youtu.be/bCUqio4gNu4?si=cRojr3wVDXzOCzvp,,,
16,cybersecurity,SSRF,ssrf,https://www.youtube.com/results?search_query=SSRF+server+side+request+forgery+explained,,https://youtu.be/eVI0Ny5cZ2c?si=vidZBtEQJlNmo6H1,,,
