priority,track,concept,concept_key,search_url,status,video_id,duration_min,creator,why
1,ai-engineering,Function calling / tool use with LLMs,function-calling,https://www.youtube.com/results?search_query=LLM+function+calling+tool+use+tutorial,,,,,
2,ai-engineering,Structured outputs / JSON mode,structured-outputs,https://www.youtube.com/results?search_query=LLM+structured+outputs+JSON+mode+tutorial,,,,,
3,ai-engineering,Evals / LLM-as-judge,llm-eval,https://www.youtube.com/results?search_query=LLM+evals+llm+as+a+judge+tutorial,,,,,
4,ai-engineering,Prompt injection & defence,prompt-injection,https://www.youtube.com/results?search_query=prompt+injection+attack+defense+explained,,,,,
5,ai-engineering,"Prompt engineering (few-shot, chain-of-thought)",prompt-engineering,https://www.youtube.com/results?search_query=prompt+engineering+few-shot+chain+of+thought+tutorial,,,,,
6,ai-engineering,RAG evaluation,rag-eval,https://www.youtube.com/results?search_query=RAG+evaluation+RAGAS+measure+retrieval+quality,,,,,
7,ai-engineering,LLM observability / tracing,llm-observability,https://www.youtube.com/results?search_query=LLM+observability+tracing+tutorial,,,,,
8,ai-engineering,Fine-tuning with LoRA,fine-tuning,https://www.youtube.com/results?search_query=fine+tuning+LLM+LoRA+explained,,,,,
9,ai-engineering,Streaming LLM responses (SSE),llm-streaming,https://www.youtube.com/results?search_query=streaming+LLM+responses+SSE+tutorial,,,,,
10,ai-engineering,Agent loops (ReAct / plan-execute),agent,https://www.youtube.com/results?search_query=AI+agents+ReAct+loop+tutorial,,,,,
11,ai-engineering,Agent memory / context window,agent-memory,https://www.youtube.com/results?search_query=LLM+agent+memory+context+window+tutorial,,,,,
12,ai-engineering,MCP / tool servers,mcp,https://www.youtube.com/results?search_query=Model+Context+Protocol+MCP+tutorial,,,,,
13,cybersecurity,Burp Suite workflow,burp,https://www.youtube.com/results?search_query=Burp+Suite+tutorial+for+beginners,,,,,
14,cybersecurity,OWASP Top 10,owasp,https://www.youtube.com/results?search_query=OWASP+Top+10+explained,,,,,
15,cybersecurity,IDOR (broken access control),idor,https://www.youtube.com/results?search_query=IDOR+insecure+direct+object+reference+explained,,,,,
16,cybersecurity,SSRF,ssrf,https://www.youtube.com/results?search_query=SSRF+server+side+request+forgery+explained,,,,,
17,cybersecurity,Privilege escalation,privesc,https://www.youtube.com/results?search_query=privilege+escalation+linux+explained,,,,,
18,cybersecurity,Incident response basics,incident-response,https://www.youtube.com/results?search_query=incident+response+process+explained,,,,,
19,cybersecurity,Threat modeling,threat-modeling,https://www.youtube.com/results?search_query=threat+modeling+STRIDE+explained,,,,,
20,ai-automation,Web scraping basics,web-scraping,https://www.youtube.com/results?search_query=web+scraping+python+beautifulsoup+tutorial,,,,,
21,ai-automation,Document processing / OCR with AI,document-ai,https://www.youtube.com/results?search_query=document+processing+OCR+AI+tutorial,,,,,
22,ai-automation,Browser automation (Playwright),browser-automation,https://www.youtube.com/results?search_query=Playwright+browser+automation+tutorial,,,,,
23,ai-automation,API integration basics,api-integration,https://www.youtube.com/results?search_query=REST+API+integration+python+requests+tutorial,,,,,
24,ai-automation,Workflow orchestration (n8n),n8n,https://www.youtube.com/results?search_query=n8n+workflow+automation+tutorial,,,,,
